action_type,combined_shot_type,game_id,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,game_date,matchup,opponent
Jump Shot,Jump Shot,20500192,7,4,0,5-Jun,46,16,1,2PT Field Goal,Left Side(L),Mid-Range,2005/11/27,LAL vs. NJN,NJN
Jump Shot,Jump Shot,20500192,7,4,0,5-Jun,11,26,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,2005/11/27,LAL vs. NJN,NJN
Layup Shot,Layup,20500192,5,4,0,5-Jun,18,0,1,2PT Field Goal,Center(C),Restricted Area,2005/11/27,LAL vs. NJN,NJN
Jump Shot,Jump Shot,20500192,4,4,0,5-Jun,44,26,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,2005/11/27,LAL vs. NJN,NJN
Layup Shot,Layup,20500192,3,4,0,5-Jun,33,0,0,2PT Field Goal,Center(C),Restricted Area,2005/11/27,LAL vs. NJN,NJN
Layup Shot,Layup,20500192,2,4,0,5-Jun,33,0,0,2PT Field Goal,Center(C),Restricted Area,2005/11/27,LAL vs. NJN,NJN
Jump Shot,Jump Shot,20500192,1,4,0,5-Jun,49,17,0,2PT Field Goal,Right Side(R),Mid-Range,2005/11/27,LAL vs. NJN,NJN
Jump Shot,Jump Shot,20500192,1,4,0,5-Jun,0,24,0,3PT Field Goal,Right Side(R),Right Corner 3,2005/11/27,LAL vs. NJN,NJN
Jump Shot,Jump Shot,20500192,0,4,0,5-Jun,28,26,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,2005/11/27,LAL vs. NJN,NJN
Jump Shot,Jump Shot,20500192,0,4,0,5-Jun,13,24,1,3PT Field Goal,Right Side(R),Right Corner 3,2005/11/27,LAL vs. NJN,NJN
Jump Shot,Jump Shot,20500192,4,5,0,5-Jun,40,20,0,2PT Field Goal,Left Side Center(LC),Mid-Range,2005/11/27,LAL vs. NJN,NJN
Jump Shot,Jump Shot,20500192,2,5,0,5-Jun,6,25,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,2005/11/27,LAL vs. NJN,NJN
Fadeaway Jump Shot,Jump Shot,20500203,11,1,0,5-Jun,6,8,0,2PT Field Goal,Right Side(R),In The Paint (Non-RA),2005/11/29,LAL @ SAS,SAS
Jump Shot,Jump Shot,20500203,10,1,0,5-Jun,11,17,0,2PT Field Goal,Right Side(R),Mid-Range,2005/11/29,LAL @ SAS,SAS
Layup Shot,Layup,20500203,8,1,0,5-Jun,37,0,1,2PT Field Goal,Center(C),Restricted Area,2005/11/29,LAL @ SAS,SAS
Layup Shot,Layup,20500203,7,1,0,5-Jun,8,1,0,2PT Field Goal,Center(C),Restricted Area,2005/11/29,LAL @ SAS,SAS
Jump Shot,Jump Shot,20500203,6,1,0,5-Jun,33,19,0,2PT Field Goal,Right Side(R),Mid-Range,2005/11/29,LAL @ SAS,SAS
Jump Shot,Jump Shot,20500203,4,1,0,5-Jun,21,14,0,2PT Field Goal,Center(C),In The Paint (Non-RA),2005/11/29,LAL @ SAS,SAS
Fadeaway Jump Shot,Jump Shot,20500203,0,1,0,5-Jun,30,14,1,2PT Field Goal,Right Side(R),Mid-Range,2005/11/29,LAL @ SAS,SAS
Jump Shot,Jump Shot,20500203,0,1,0,5-Jun,0,7,1,2PT Field Goal,Center(C),In The Paint (Non-RA),2005/11/29,LAL @ SAS,SAS
Jump Shot,Jump Shot,20500203,10,2,0,5-Jun,18,16,0,2PT Field Goal,Right Side(R),Mid-Range,2005/11/29,LAL @ SAS,SAS
Layup Shot,Layup,20500203,6,2,0,5-Jun,59,2,1,2PT Field Goal,Center(C),Restricted Area,2005/11/29,LAL @ SAS,SAS
Jump Shot,Jump Shot,20500203,4,2,0,5-Jun,51,5,0,2PT Field Goal,Center(C),In The Paint (Non-RA),2005/11/29,LAL @ SAS,SAS
Fadeaway Jump Shot,Jump Shot,20500203,4,2,0,5-Jun,10,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),2005/11/29,LAL @ SAS,SAS
Jump Shot,Jump Shot,20500203,3,2,0,5-Jun,40,13,0,2PT Field Goal,Left Side(L),Mid-Range,2005/11/29,LAL @ SAS,SAS
Jump Shot,Jump Shot,20500203,3,2,0,5-Jun,9,22,0,3PT Field Goal,Right Side(R),Right Corner 3,2005/11/29,LAL @ SAS,SAS
Jump Bank Shot,Jump Shot,20500203,2,2,0,5-Jun,49,7,1,2PT Field Goal,Center(C),In The Paint (Non-RA),2005/11/29,LAL @ SAS,SAS
Jump Shot,Jump Shot,20500203,1,2,0,5-Jun,22,8,0,2PT Field Goal,Right Side(R),Mid-Range,2005/11/29,LAL @ SAS,SAS
Driving Layup Shot,Layup,20500203,1,2,0,5-Jun,16,0,1,2PT Field Goal,Center(C),Restricted Area,2005/11/29,LAL @ SAS,SAS
Jump Shot,Jump Shot,20500203,10,3,0,5-Jun,21,17,0,2PT Field Goal,Center(C),Mid-Range,2005/11/29,LAL @ SAS,SAS
Layup Shot,Layup,20500203,9,3,0,5-Jun,59,3,0,2PT Field Goal,Center(C),Restricted Area,2005/11/29,LAL @ SAS,SAS
Fadeaway Jump Shot,Jump Shot,20500203,7,3,0,5-Jun,10,14,0,2PT Field Goal,Right Side(R),Mid-Range,2005/11/29,LAL @ SAS,SAS
Jump Shot,Jump Shot,20500203,6,3,0,5-Jun,14,19,0,2PT Field Goal,Left Side(L),Mid-Range,2005/11/29,LAL @ SAS,SAS
Jump Shot,Jump Shot,20500203,4,3,0,5-Jun,37,4,0,2PT Field Goal,Center(C),In The Paint (Non-RA),2005/11/29,LAL @ SAS,SAS
Jump Shot,Jump Shot,20500203,2,3,0,5-Jun,37,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),2005/11/29,LAL @ SAS,SAS
Jump Shot,Jump Shot,20500203,1,3,0,5-Jun,22,4,1,2PT Field Goal,Center(C),In The Paint (Non-RA),2005/11/29,LAL @ SAS,SAS
Jump Shot,Jump Shot,20500203,0,3,0,5-Jun,56,24,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,2005/11/29,LAL @ SAS,SAS
Layup Shot,Layup,20500203,0,3,0,5-Jun,1,1,1,2PT Field Goal,Center(C),Restricted Area,2005/11/29,LAL @ SAS,SAS
Jump Shot,Jump Shot,20500203,3,4,0,5-Jun,19,25,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,2005/11/29,LAL @ SAS,SAS
Running Jump Shot,Jump Shot,20500203,2,4,0,5-Jun,50,4,1,2PT Field Goal,Center(C),In The Paint (Non-RA),2005/11/29,LAL @ SAS,SAS
Jump Shot,Jump Shot,20500203,1,4,0,5-Jun,51,10,0,2PT Field Goal,Left Side(L),Mid-Range,2005/11/29,LAL @ SAS,SAS
Layup Shot,Layup,20500203,1,4,0,5-Jun,16,1,0,2PT Field Goal,Center(C),Restricted Area,2005/11/29,LAL @ SAS,SAS
Jump Shot,Jump Shot,20500203,1,4,0,5-Jun,6,25,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,2005/11/29,LAL @ SAS,SAS
Jump Shot,Jump Shot,20500203,0,4,0,5-Jun,25,24,0,3PT Field Goal,Center(C),Above the Break 3,2005/11/29,LAL @ SAS,SAS
Jump Shot,Jump Shot,20500203,0,4,0,5-Jun,7,24,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,2005/11/29,LAL @ SAS,SAS
Jump Shot,Jump Shot,20500218,11,1,0,5-Jun,30,22,1,2PT Field Goal,Left Side Center(LC),Mid-Range,2005/12/1,LAL @ UTA,UTA
Fadeaway Jump Shot,Jump Shot,20500218,10,1,0,5-Jun,11,20,0,2PT Field Goal,Right Side Center(RC),Mid-Range,2005/12/1,LAL @ UTA,UTA
Jump Shot,Jump Shot,20500218,7,1,0,5-Jun,50,20,0,2PT Field Goal,Right Side Center(RC),Mid-Range,2005/12/1,LAL @ UTA,UTA
Jump Bank Shot,Jump Shot,20500218,7,1,0,5-Jun,25,16,0,2PT Field Goal,Left Side(L),Mid-Range,2005/12/1,LAL @ UTA,UTA
Jump Shot,Jump Shot,20500218,7,1,0,5-Jun,19,18,1,2PT Field Goal,Left Side Center(LC),Mid-Range,2005/12/1,LAL @ UTA,UTA
Jump Shot,Jump Shot,20500218,6,1,0,5-Jun,49,23,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,2005/12/1,LAL @ UTA,UTA
Driving Layup Shot,Layup,20500218,0,1,0,5-Jun,1,0,1,2PT Field Goal,Center(C),Restricted Area,2005/12/1,LAL @ UTA,UTA
Jump Shot,Jump Shot,20500218,5,2,0,5-Jun,7,21,0,2PT Field Goal,Right Side Center(RC),Mid-Range,2005/12/1,LAL @ UTA,UTA
Driving Layup Shot,Layup,20500218,2,2,0,5-Jun,13,0,0,2PT Field Goal,Center(C),Restricted Area,2005/12/1,LAL @ UTA,UTA
Layup Shot,Layup,20500218,0,2,0,5-Jun,49,0,0,2PT Field Goal,Center(C),Restricted Area,2005/12/1,LAL @ UTA,UTA
Fadeaway Jump Shot,Jump Shot,20500218,0,2,0,5-Jun,40,19,0,2PT Field Goal,Right Side Center(RC),Mid-Range,2005/12/1,LAL @ UTA,UTA
Jump Shot,Jump Shot,20500218,11,3,0,5-Jun,11,24,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,2005/12/1,LAL @ UTA,UTA
Jump Shot,Jump Shot,20500218,10,3,0,5-Jun,45,24,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,2005/12/1,LAL @ UTA,UTA
Running Jump Shot,Jump Shot,20500218,10,3,0,5-Jun,29,8,1,2PT Field Goal,Center(C),In The Paint (Non-RA),2005/12/1,LAL @ UTA,UTA
Jump Shot,Jump Shot,20500218,9,3,0,5-Jun,41,14,0,2PT Field Goal,Left Side(L),Mid-Range,2005/12/1,LAL @ UTA,UTA
Running Jump Shot,Jump Shot,20500218,8,3,0,5-Jun,49,8,0,2PT Field Goal,Right Side(R),In The Paint (Non-RA),2005/12/1,LAL @ UTA,UTA
Jump Shot,Jump Shot,20500218,7,3,0,5-Jun,31,18,1,2PT Field Goal,Right Side Center(RC),Mid-Range,2005/12/1,LAL @ UTA,UTA
Jump Shot,Jump Shot,20500218,6,3,0,5-Jun,17,24,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,2005/12/1,LAL @ UTA,UTA
Jump Shot,Jump Shot,20500218,3,3,0,5-Jun,47,20,0,2PT Field Goal,Right Side(R),Mid-Range,2005/12/1,LAL @ UTA,UTA
Jump Shot,Jump Shot,20500218,11,4,0,5-Jun,17,22,0,3PT Field Goal,Left Side(L),Left Corner 3,2005/12/1,LAL @ UTA,UTA
Jump Shot,Jump Shot,20500218,9,4,0,5-Jun,25,20,0,2PT Field Goal,Right Side Center(RC),Mid-Range,2005/12/1,LAL @ UTA,UTA
Jump Shot,Jump Shot,20500218,8,4,0,5-Jun,51,19,0,2PT Field Goal,Left Side Center(LC),Mid-Range,2005/12/1,LAL @ UTA,UTA
Jump Shot,Jump Shot,20500218,8,4,0,5-Jun,22,24,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,2005/12/1,LAL @ UTA,UTA
Fadeaway Jump Shot,Jump Shot,20500218,4,4,0,5-Jun,44,19,1,2PT Field Goal,Right Side(R),Mid-Range,2005/12/1,LAL @ UTA,UTA
Jump Shot,Jump Shot,20500218,3,4,0,5-Jun,55,17,1,2PT Field Goal,Left Side(L),Mid-Range,2005/12/1,LAL @ UTA,UTA
Jump Shot,Jump Shot,20500218,1,4,0,5-Jun,16,19,0,2PT Field Goal,Right Side Center(RC),Mid-Range,2005/12/1,LAL @ UTA,UTA
Driving Layup Shot,Layup,20500218,0,4,0,5-Jun,11,0,0,2PT Field Goal,Center(C),Restricted Area,2005/12/1,LAL @ UTA,UTA
Jump Shot,Jump Shot,20500218,4,5,0,5-Jun,3,15,1,2PT Field Goal,Left Side(L),Mid-Range,2005/12/1,LAL @ UTA,UTA
Jump Shot,Jump Shot,20500218,3,5,0,5-Jun,20,22,0,2PT Field Goal,Right Side Center(RC),Mid-Range,2005/12/1,LAL @ UTA,UTA
Jump Shot,Jump Shot,20500218,2,5,0,5-Jun,58,20,0,2PT Field Goal,Right Side Center(RC),Mid-Range,2005/12/1,LAL @ UTA,UTA
Turnaround Jump Shot,Jump Shot,20500218,2,5,0,5-Jun,22,10,1,2PT Field Goal,Center(C),In The Paint (Non-RA),2005/12/1,LAL @ UTA,UTA
Jump Shot,Jump Shot,20500228,11,1,0,5-Jun,31,13,0,2PT Field Goal,Left Side(L),Mid-Range,2005/12/2,LAL vs. MIN,MIN
Driving Layup Shot,Layup,20500228,2,1,0,5-Jun,47,0,1,2PT Field Goal,Center(C),Restricted Area,2005/12/2,LAL vs. MIN,MIN
Jump Shot,Jump Shot,20500228,2,1,0,5-Jun,4,10,1,2PT Field Goal,Right Side(R),Mid-Range,2005/12/2,LAL vs. MIN,MIN
Layup Shot,Layup,20500228,6,2,0,5-Jun,43,2,1,2PT Field Goal,Center(C),Restricted Area,2005/12/2,LAL vs. MIN,MIN
Running Jump Shot,Jump Shot,20500228,5,2,0,5-Jun,14,4,1,2PT Field Goal,Center(C),In The Paint (Non-RA),2005/12/2,LAL vs. MIN,MIN
Jump Shot,Jump Shot,20500228,2,2,0,5-Jun,54,26,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,2005/12/2,LAL vs. MIN,MIN
Layup Shot,Layup,20500228,0,2,0,5-Jun,49,0,0,2PT Field Goal,Center(C),Restricted Area,2005/12/2,LAL vs. MIN,MIN
Fadeaway Jump Shot,Jump Shot,20500228,0,2,0,5-Jun,48,6,0,2PT Field Goal,Center(C),In The Paint (Non-RA),2005/12/2,LAL vs. MIN,MIN
Jump Shot,Jump Shot,20500228,6,3,0,5-Jun,23,18,1,2PT Field Goal,Right Side Center(RC),Mid-Range,2005/12/2,LAL vs. MIN,MIN
Jump Bank Shot,Jump Shot,20500228,4,3,0,5-Jun,30,7,1,2PT Field Goal,Center(C),In The Paint (Non-RA),2005/12/2,LAL vs. MIN,MIN
Jump Shot,Jump Shot,20500228,2,3,0,5-Jun,46,16,1,2PT Field Goal,Right Side(R),Mid-Range,2005/12/2,LAL vs. MIN,MIN
Jump Shot,Jump Shot,20500228,11,4,0,5-Jun,42,15,0,2PT Field Goal,Left Side(L),In The Paint (Non-RA),2005/12/2,LAL vs. MIN,MIN
Layup Shot,Layup,20500228,10,4,0,5-Jun,8,0,0,2PT Field Goal,Center(C),Restricted Area,2005/12/2,LAL vs. MIN,MIN
Jump Shot,Jump Shot,20500228,7,4,0,5-Jun,5,19,0,2PT Field Goal,Left Side Center(LC),Mid-Range,2005/12/2,LAL vs. MIN,MIN
Jump Shot,Jump Shot,20500228,1,4,0,5-Jun,16,25,1,3PT Field Goal,Center(C),Above the Break 3,2005/12/2,LAL vs. MIN,MIN
Jump Shot,Jump Shot,20500228,0,4,0,5-Jun,47,25,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,2005/12/2,LAL vs. MIN,MIN
Jump Shot,Jump Shot,20500244,9,1,0,5-Jun,42,15,0,2PT Field Goal,Right Side(R),Mid-Range,2005/12/4,LAL vs. CHA,CHA
Jump Shot,Jump Shot,20500244,8,1,0,5-Jun,18,19,0,2PT Field Goal,Right Side Center(RC),Mid-Range,2005/12/4,LAL vs. CHA,CHA
Jump Shot,Jump Shot,20500244,7,1,0,5-Jun,42,15,0,2PT Field Goal,Right Side(R),Mid-Range,2005/12/4,LAL vs. CHA,CHA
Jump Shot,Jump Shot,20500244,7,1,0,5-Jun,11,5,0,2PT Field Goal,Center(C),In The Paint (Non-RA),2005/12/4,LAL vs. CHA,CHA
Jump Shot,Jump Shot,20500244,5,1,0,5-Jun,42,14,0,2PT Field Goal,Left Side(L),Mid-Range,2005/12/4,LAL vs. CHA,CHA
Jump Shot,Jump Shot,20500244,0,1,0,5-Jun,35,10,0,2PT Field Goal,Right Side(R),Mid-Range,2005/12/4,LAL vs. CHA,CHA
Jump Shot,Jump Shot,20500244,6,2,0,5-Jun,17,22,0,2PT Field Goal,Right Side Center(RC),Mid-Range,2005/12/4,LAL vs. CHA,CHA
Layup Shot,Layup,20500244,5,2,0,5-Jun,54,0,0,2PT Field Goal,Center(C),Restricted Area,2005/12/4,LAL vs. CHA,CHA
Jump Shot,Jump Shot,20500244,5,2,0,5-Jun,36,6,1,2PT Field Goal,Center(C),In The Paint (Non-RA),2005/12/4,LAL vs. CHA,CHA
Jump Shot,Jump Shot,20500244,1,2,0,5-Jun,57,19,0,2PT Field Goal,Left Side Center(LC),Mid-Range,2005/12/4,LAL vs. CHA,CHA
Jump Shot,Jump Shot,20500244,0,2,0,5-Jun,48,28,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,2005/12/4,LAL vs. CHA,CHA
Running Jump Shot,Jump Shot,20500244,11,3,0,5-Jun,27,13,1,2PT Field Goal,Left Side(L),Mid-Range,2005/12/4,LAL vs. CHA,CHA
Jump Shot,Jump Shot,20500244,10,3,0,5-Jun,28,19,0,2PT Field Goal,Right Side(R),Mid-Range,2005/12/4,LAL vs. CHA,CHA
Jump Shot,Jump Shot,20500244,8,3,0,5-Jun,25,14,0,2PT Field Goal,Right Side(R),Mid-Range,2005/12/4,LAL vs. CHA,CHA
Layup Shot,Layup,20500244,5,3,0,5-Jun,28,0,0,2PT Field Goal,Center(C),Restricted Area,2005/12/4,LAL vs. CHA,CHA
Fadeaway Jump Shot,Jump Shot,20500244,4,3,0,5-Jun,45,14,1,2PT Field Goal,Center(C),Mid-Range,2005/12/4,LAL vs. CHA,CHA
Jump Shot,Jump Shot,20500244,3,3,0,5-Jun,38,18,1,2PT Field Goal,Left Side(L),Mid-Range,2005/12/4,LAL vs. CHA,CHA
Jump Shot,Jump Shot,20500244,1,3,0,5-Jun,29,21,1,2PT Field Goal,Center(C),Mid-Range,2005/12/4,LAL vs. CHA,CHA
Jump Shot,Jump Shot,20500244,1,3,0,5-Jun,7,17,0,2PT Field Goal,Right Side(R),Mid-Range,2005/12/4,LAL vs. CHA,CHA
Jump Shot,Jump Shot,20500244,0,3,0,5-Jun,26,5,0,2PT Field Goal,Center(C),In The Paint (Non-RA),2005/12/4,LAL vs. CHA,CHA
Jump Shot,Jump Shot,20500244,0,3,0,5-Jun,0,27,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,2005/12/4,LAL vs. CHA,CHA
Jump Shot,Jump Shot,20500244,8,4,0,5-Jun,43,5,0,2PT Field Goal,Center(C),In The Paint (Non-RA),2005/12/4,LAL vs. CHA,CHA
Jump Shot,Jump Shot,20500244,8,4,0,5-Jun,39,4,1,2PT Field Goal,Center(C),In The Paint (Non-RA),2005/12/4,LAL vs. CHA,CHA
Jump Shot,Jump Shot,20500244,7,4,0,5-Jun,57,13,1,2PT Field Goal,Center(C),In The Paint (Non-RA),2005/12/4,LAL vs. CHA,CHA
Jump Shot,Jump Shot,20500244,6,4,0,5-Jun,11,9,0,2PT Field Goal,Center(C),In The Paint (Non-RA),2005/12/4,LAL vs. CHA,CHA
Jump Bank Shot,Jump Shot,20500244,4,4,0,5-Jun,28,6,1,2PT Field Goal,Center(C),In The Paint (Non-RA),2005/12/4,LAL vs. CHA,CHA
Jump Shot,Jump Shot,20500244,3,4,0,5-Jun,56,17,0,2PT Field Goal,Center(C),Mid-Range,2005/12/4,LAL vs. CHA,CHA
Jump Shot,Jump Shot,20500244,2,4,0,5-Jun,53,8,0,2PT Field Goal,Center(C),In The Paint (Non-RA),2005/12/4,LAL vs. CHA,CHA
Jump Shot,Jump Shot,20500244,2,4,0,5-Jun,49,25,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,2005/12/4,LAL vs. CHA,CHA
Jump Shot,Jump Shot,20500244,0,4,0,5-Jun,49,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,2005/12/4,LAL vs. CHA,CHA
Jump Shot,Jump Shot,20500251,10,1,0,5-Jun,54,16,0,2PT Field Goal,Left Side(L),Mid-Range,2005/12/6,LAL @ MIL,MIL
Jump Shot,Jump Shot,20500251,9,1,0,5-Jun,33,11,0,2PT Field Goal,Right Side(R),Mid-Range,2005/12/6,LAL @ MIL,MIL
Layup Shot,Layup,20500251,8,1,0,5-Jun,57,0,1,2PT Field Goal,Center(C),Restricted Area,2005/12/6,LAL @ MIL,MIL
Jump Shot,Jump Shot,20500251,6,1,0,5-Jun,16,5,1,2PT Field Goal,Center(C),In The Paint (Non-RA),2005/12/6,LAL @ MIL,MIL
Jump Shot,Jump Shot,20500251,5,1,0,5-Jun,40,30,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,2005/12/6,LAL @ MIL,MIL
Jump Shot,Jump Shot,20500251,4,1,0,5-Jun,54,10,1,2PT Field Goal,Right Side(R),Mid-Range,2005/12/6,LAL @ MIL,MIL
Jump Shot,Jump Shot,20500251,3,1,0,5-Jun,19,15,1,2PT Field Goal,Center(C),In The Paint (Non-RA),2005/12/6,LAL @ MIL,MIL
Layup Shot,Layup,20500251,10,2,0,5-Jun,28,0,1,2PT Field Goal,Center(C),Restricted Area,2005/12/6,LAL @ MIL,MIL
Jump Shot,Jump Shot,20500251,7,2,0,5-Jun,30,14,1,2PT Field Goal,Right Side(R),In The Paint (Non-RA),2005/12/6,LAL @ MIL,MIL
Jump Shot,Jump Shot,20500251,4,2,0,5-Jun,57,12,0,2PT Field Goal,Left Side(L),Mid-Range,2005/12/6,LAL @ MIL,MIL
Jump Shot,Jump Shot,20500251,4,2,0,5-Jun,24,18,1,2PT Field Goal,Left Side(L),Mid-Range,2005/12/6,LAL @ MIL,MIL
Jump Shot,Jump Shot,20500251,3,2,0,5-Jun,53,17,0,2PT Field Goal,Left Side(L),Mid-Range,2005/12/6,LAL @ MIL,MIL
Layup Shot,Layup,20500251,2,2,0,5-Jun,19,0,1,2PT Field Goal,Center(C),Restricted Area,2005/12/6,LAL @ MIL,MIL
Dunk Shot,Dunk,20500251,0,2,0,5-Jun,25,0,1,2PT Field Goal,Center(C),Restricted Area,2005/12/6,LAL @ MIL,MIL
Jump Shot,Jump Shot,20500251,11,3,0,5-Jun,2,15,0,2PT Field Goal,Right Side(R),Mid-Range,2005/12/6,LAL @ MIL,MIL
Jump Shot,Jump Shot,20500251,10,3,0,5-Jun,58,16,1,2PT Field Goal,Right Side(R),Mid-Range,2005/12/6,LAL @ MIL,MIL
Jump Shot,Jump Shot,20500251,10,3,0,5-Jun,27,13,0,2PT Field Goal,Left Side(L),Mid-Range,2005/12/6,LAL @ MIL,MIL
Jump Shot,Jump Shot,20500251,4,3,0,5-Jun,22,19,0,2PT Field Goal,Left Side(L),Mid-Range,2005/12/6,LAL @ MIL,MIL
Jump Shot,Jump Shot,20500251,11,4,0,5-Jun,13,12,1,2PT Field Goal,Right Side(R),Mid-Range,2005/12/6,LAL @ MIL,MIL
Jump Shot,Jump Shot,20500251,10,4,0,5-Jun,39,16,1,2PT Field Goal,Right Side(R),Mid-Range,2005/12/6,LAL @ MIL,MIL
Jump Shot,Jump Shot,20500251,9,4,0,5-Jun,19,16,0,2PT Field Goal,Right Side(R),Mid-Range,2005/12/6,LAL @ MIL,MIL
Jump Shot,Jump Shot,20500251,7,4,0,5-Jun,37,27,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,2005/12/6,LAL @ MIL,MIL
Jump Shot,Jump Shot,20500251,5,4,0,5-Jun,42,13,1,2PT Field Goal,Left Side(L),Mid-Range,2005/12/6,LAL @ MIL,MIL
Jump Shot,Jump Shot,20500251,4,4,0,5-Jun,52,14,1,2PT Field Goal,Right Side(R),Mid-Range,2005/12/6,LAL @ MIL,MIL
Jump Shot,Jump Shot,20500258,8,1,0,5-Jun,50,22,0,2PT Field Goal,Center(C),Mid-Range,2005/12/7,LAL @ TOR,TOR
Fadeaway Jump Shot,Jump Shot,20500258,7,1,0,5-Jun,27,8,1,2PT Field Goal,Center(C),In The Paint (Non-RA),2005/12/7,LAL @ TOR,TOR
Jump Shot,Jump Shot,20500258,5,1,0,5-Jun,25,20,1,2PT Field Goal,Right Side(R),Mid-Range,2005/12/7,LAL @ TOR,TOR
Fadeaway Jump Shot,Jump Shot,20500258,2,1,0,5-Jun,55,11,0,2PT Field Goal,Left Side(L),Mid-Range,2005/12/7,LAL @ TOR,TOR
Jump Shot,Jump Shot,20500258,2,1,0,5-Jun,46,10,0,2PT Field Goal,Right Side(R),Mid-Range,2005/12/7,LAL @ TOR,TOR
Jump Shot,Jump Shot,20500258,1,1,0,5-Jun,14,14,0,2PT Field Goal,Right Side(R),Mid-Range,2005/12/7,LAL @ TOR,TOR
Jump Shot,Jump Shot,20500258,0,1,0,5-Jun,26,24,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,2005/12/7,LAL @ TOR,TOR
Jump Shot,Jump Shot,20500258,0,1,0,5-Jun,0,24,0,3PT Field Goal,Center(C),Above the Break 3,2005/12/7,LAL @ TOR,TOR
Running Jump Shot,Jump Shot,20500258,0,2,0,5-Jun,2,5,0,2PT Field Goal,Center(C),In The Paint (Non-RA),2005/12/7,LAL @ TOR,TOR
Fadeaway Jump Shot,Jump Shot,20500258,0,2,0,5-Jun,0,20,1,2PT Field Goal,Left Side(L),Mid-Range,2005/12/7,LAL @ TOR,TOR
Turnaround Jump Shot,Jump Shot,20500258,6,3,0,5-Jun,38,15,1,2PT Field Goal,Left Side(L),Mid-Range,2005/12/7,LAL @ TOR,TOR
Driving Finger Roll Shot,Layup,20500258,5,3,0,5-Jun,8,0,0,2PT Field Goal,Center(C),Restricted Area,2005/12/7,LAL @ TOR,TOR
Jump Shot,Jump Shot,20500274,10,1,0,5-Jun,22,20,0,2PT Field Goal,Right Side(R),Mid-Range,2005/12/9,LAL @ CHI,CHI
Jump Shot,Jump Shot,20500274,9,1,0,5-Jun,26,6,0,2PT Field Goal,Center(C),In The Paint (Non-RA),2005/12/9,LAL @ CHI,CHI
Jump Shot,Jump Shot,20500274,8,2,0,5-Jun,31,13,0,2PT Field Goal,Left Side(L),Mid-Range,2005/12/9,LAL @ CHI,CHI
Jump Shot,Jump Shot,20500274,7,2,0,5-Jun,55,15,0,2PT Field Goal,Right Side(R),Mid-Range,2005/12/9,LAL @ CHI,CHI
Jump Shot,Jump Shot,20500274,5,2,0,5-Jun,56,12,1,2PT Field Goal,Left Side(L),Mid-Range,2005/12/9,LAL @ CHI,CHI
Layup Shot,Layup,20500274,2,2,0,5-Jun,20,0,0,2PT Field Goal,Center(C),Restricted Area,2005/12/9,LAL @ CHI,CHI
Jump Shot,Jump Shot,20500274,9,3,0,5-Jun,32,21,1,2PT Field Goal,Left Side Center(LC),Mid-Range,2005/12/9,LAL @ CHI,CHI
Jump Shot,Jump Shot,20500274,8,3,0,5-Jun,55,20,1,2PT Field Goal,Right Side(R),Mid-Range,2005/12/9,LAL @ CHI,CHI
Jump Shot,Jump Shot,20500274,8,3,0,5-Jun,28,17,0,2PT Field Goal,Center(C),Mid-Range,2005/12/9,LAL @ CHI,CHI
Jump Shot,Jump Shot,20500274,8,3,0,5-Jun,11,21,1,2PT Field Goal,Left Side Center(LC),Mid-Range,2005/12/9,LAL @ CHI,CHI
Jump Shot,Jump Shot,20500274,7,3,0,5-Jun,7,19,0,2PT Field Goal,Right Side Center(RC),Mid-Range,2005/12/9,LAL @ CHI,CHI
Jump Shot,Jump Shot,20500274,5,3,0,5-Jun,12,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),2005/12/9,LAL @ CHI,CHI
Jump Shot,Jump Shot,20500274,1,3,0,5-Jun,37,19,1,2PT Field Goal,Left Side Center(LC),Mid-Range,2005/12/9,LAL @ CHI,CHI
Jump Shot,Jump Shot,20500274,0,3,0,5-Jun,0,25,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,2005/12/9,LAL @ CHI,CHI
